,Customer_id,Phone,OnlineSecurity,OnlineBackup,TechSupport,DeviceProtection,StreamingTV,StreamingMovies,PaperlessBilling,DSL,Fiber Optic
0,K409198,1,1,1,0,0,0,1,1,0,1
1,S120509,1,1,0,0,0,1,1,1,0,1
2,K191035,1,0,0,0,0,0,1,1,1,0
3,D90850,1,1,0,0,0,1,0,1,1,0
4,K662701,0,0,0,1,0,1,0,0,0,1
5,W303516,1,1,1,0,1,0,1,0,0,0
6,U335188,1,0,0,1,0,1,1,0,1,0
7,V538685,0,0,1,0,0,0,0,1,1,0
8,M716771,1,1,1,0,0,0,0,1,1,0
9,I676080,1,1,0,0,1,0,1,1,0,1
10,J980369,1,1,1,0,0,1,0,0,1,0
11,E243720,1,0,0,0,1,1,0,0,0,1
12,F139569,1,0,0,0,0,1,0,0,0,1
13,X44200,1,1,0,1,0,1,0,1,0,1
14,H68068,0,0,1,1,0,0,0,1,1,0
15,A403906,1,1,0,0,0,1,1,1,0,0
16,V847470,1,0,1,0,1,0,1,1,1,0
17,F721878,1,1,0,1,1,1,1,0,0,0
18,F487435,1,0,1,1,1,1,0,1,0,0
19,B561228,1,0,0,0,0,1,0,1,1,0
20,X325271,1,1,1,0,1,0,1,1,0,1
21,I282896,1,1,0,0,1,0,0,0,0,1
22,I367206,1,0,0,1,0,0,0,1,0,1
23,N37182,1,0,0,1,0,1,0,1,0,1
24,U644626,1,1,0,0,1,0,1,0,0,0
25,A766555,1,0,0,0,0,0,0,0,1,0
26,V54032,1,1,0,0,1,1,1,0,0,1
27,Z301326,1,0,1,0,1,1,0,1,0,0
28,J887250,1,0,0,0,1,1,1,0,1,0
29,Z686376,1,1,1,0,1,1,1,1,1,0
30,L357432,0,0,1,0,0,1,1,1,0,1
31,V899967,1,0,1,1,0,0,0,0,0,0
32,G571225,1,0,1,0,0,1,1,1,0,1
33,S381541,1,1,1,0,0,1,0,0,1,0
34,R195593,1,1,0,1,1,1,1,0,0,1
35,I327596,1,1,1,1,0,0,0,1,1,0
36,U790894,1,1,1,1,1,0,1,1,0,1
37,O739489,1,1,0,0,1,0,0,1,1,0
38,I958127,1,1,1,1,0,0,1,0,0,1
39,Z666770,1,0,1,0,1,0,0,0,0,1
40,X711438,1,0,1,0,1,1,0,1,0,1
41,U369541,1,1,0,1,0,0,0,1,1,0
42,S896111,1,1,0,1,0,1,1,0,0,1
43,K227200,1,0,0,1,0,0,1,1,0,1
44,E818912,1,1,0,0,0,1,1,1,0,1
45,Y490834,1,1,1,0,1,1,1,1,0,0
46,B609739,1,1,1,1,0,0,1,1,0,1
47,E687638,1,1,1,1,1,0,0,1,0,1
48,E492264,1,0,0,0,0,1,0,0,0,0
49,W255321,1,0,0,1,0,0,0,1,0,0
50,S72442,1,0,0,1,1,0,1,0,1,0
51,O845020,1,0,0,0,1,1,1,1,0,0
52,D805597,1,0,0,0,1,1,0,1,0,1
53,R189303,1,0,0,0,0,1,0,1,0,1
54,N142854,1,1,0,0,1,0,0,1,0,1
55,F522569,1,0,0,0,1,1,0,0,1,0
56,L384793,1,0,1,0,0,0,0,1,1,0
57,C101444,1,1,0,1,1,0,1,1,0,0
58,E987442,1,0,0,1,0,1,1,1,0,0
59,L54611,1,0,0,0,1,0,0,1,0,1
60,L85018,1,1,1,1,0,0,1,1,1,0
61,O942919,1,0,0,1,1,1,0,0,0,1
62,I167253,1,1,1,0,0,0,1,1,1,0
63,R110564,1,0,0,0,1,0,0,0,0,0
64,M278354,1,0,0,0,1,0,1,1,0,0
65,W604879,1,0,1,0,1,1,0,0,1,0
66,X345797,1,0,0,1,1,1,1,1,0,1
67,N189653,1,0,0,0,0,1,1,0,0,1
68,M562102,1,1,0,0,0,1,0,0,1,0
69,X67911,1,0,0,0,1,1,1,1,1,0
70,O834546,1,1,1,1,0,1,1,0,0,0
71,I493092,1,0,1,1,0,1,1,1,1,0
72,H787644,1,0,1,0,0,0,0,1,0,1
73,N582710,1,0,1,1,1,1,1,1,0,1
74,T689606,1,0,1,0,1,0,1,0,0,1
75,E330599,1,1,1,1,1,1,1,1,1,0
76,C641592,0,0,0,1,1,1,1,1,0,0
77,E24772,1,0,1,0,0,0,1,0,1,0
78,A889769,1,0,0,0,0,1,1,1,0,1
79,G391761,1,1,0,0,1,0,0,1,0,1
80,A606860,1,0,0,0,0,1,1,0,1,0
81,E186097,1,0,0,1,1,0,0,0,0,1
82,I627613,1,0,0,1,0,0,1,0,0,1
83,Z188641,1,1,0,1,1,0,0,1,1,0
84,A740543,1,1,1,1,1,0,0,0,0,1
85,W681476,1,1,0,0,0,1,0,1,0,1
86,G842176,1,0,1,1,0,0,0,1,0,0
87,Z852663,1,0,0,0,0,1,1,0,0,0
88,C73741,1,0,0,0,0,1,1,1,1,0
89,W258972,1,0,1,0,0,0,0,1,0,1
90,G491883,1,0,0,0,1,0,1,1,0,1
91,C302549,0,0,1,0,1,1,1,1,1,0
92,K581313,1,1,0,1,0,0,1,1,0,1
93,T46150,1,0,1,0,1,0,0,0,1,0
94,B260505,1,0,0,1,1,0,1,1,1,0
95,W877056,1,1,1,0,1,1,1,1,0,1
96,M478246,1,0,0,0,1,0,0,0,0,1
97,N417817,1,1,1,1,1,1,0,0,0,1
98,R180138,1,1,1,1,1,0,0,1,0,1
99,N931384,1,0,0,0,1,1,0,1,0,1
100,O967373,0,0,1,1,1,1,1,1,0,0
101,G695985,1,0,0,0,1,1,0,1,0,1
102,P33478,1,0,0,0,1,1,1,1,0,0
103,K100436,1,0,1,0,0,0,1,1,0,1
104,L475907,0,0,1,0,1,1,0,1,0,1
105,A78095,1,0,1,0,1,1,0,0,0,1
106,X742990,1,1,1,0,0,1,1,0,1,0
107,P347346,1,0,1,1,0,1,0,1,0,0
108,O235183,0,0,0,1,0,0,1,0,1,0
109,R776311,1,0,0,1,1,1,0,1,0,1
110,C25146,1,0,0,0,0,1,0,1,0,1
111,E722502,1,0,0,0,1,0,1,1,0,1
112,D515341,1,0,0,1,0,0,1,0,0,1
113,U972291,1,0,0,0,0,0,0,1,0,1
114,N374641,1,1,1,1,0,1,0,1,0,1
115,R736057,1,1,1,0,0,1,0,0,0,1
116,K401117,1,0,0,0,1,0,0,1,1,0
117,O17401,1,0,1,0,1,1,1,1,0,1
118,E779833,1,0,0,0,0,0,1,0,1,0
119,Q527077,1,0,1,1,0,1,1,0,0,0
