,Age,Children,Churn,Contacts,DeviceProtection,Email,Fiber Optic,Income,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Male,Married,MonthlyCharge,Multiple,Never Married,Nonbinary,One year,OnlineBackup,OnlineSecurity,Outage_sec_perweek,PaperlessBilling,Phone,Port_modem,Separated,StreamingMovies,StreamingTV,Tablet,TechSupport,Techie,Tenure,Two Year,Widowed,Yearly_equip_failure,Bandwidth_GB_Year
0,68,0,0,0,0,10,1,28561.99,5,5,5,3,4,4,3,4,1,0,172.455519,0,0,0,1,1,1,7.978322947,1,1,1,0,1,0,1,0,0,6.795512947,0,1,1,904.5361102
1,27,1,1,0,0,12,1,21704.77,3,4,3,3,4,3,4,4,0,1,242.632554,1,0,0,0,0,1,11.69907956,1,1,0,0,1,1,1,0,1,1.156680997,0,0,1,800.9827661
2,50,4,0,0,0,9,0,9609.57,4,4,2,4,4,3,3,3,0,0,159.947583,1,0,0,0,0,0,10.75280028,1,1,1,0,1,0,0,0,1,15.75414408,1,1,1,2054.706961
3,48,1,0,2,0,15,0,18925.23,4,4,4,2,5,4,3,3,1,1,119.95684,0,0,0,0,0,1,14.91353964,1,1,0,0,0,1,0,0,1,17.08722662,1,0,0,2164.579412
4,83,0,1,2,0,16,1,40074.19,4,4,4,3,4,4,4,5,1,0,149.948316,0,0,0,0,0,0,8.147416533,0,0,1,1,0,1,0,1,0,1.670971726,0,0,1,271.4934362
5,83,3,0,3,1,15,0,22660.2,3,3,3,2,4,3,3,3,0,0,185.007692,1,1,0,1,1,1,8.420992898,0,1,1,0,1,0,0,0,0,7.000993555,0,0,1,1039.357983
6,79,0,1,0,0,10,0,11467.5,6,5,6,4,1,5,5,5,1,0,200.118516,0,0,0,0,0,0,11.18272453,0,1,0,0,1,1,0,1,1,13.23677381,0,1,1,1907.242972
7,30,2,1,0,0,16,0,26759.64,2,2,2,5,2,3,4,5,0,1,114.950905,0,0,0,0,1,0,7.791632265,1,0,0,0,0,0,0,0,1,4.26425515,0,0,0,979.6127078
8,49,2,0,2,0,20,0,58634.51,5,4,4,3,4,3,4,4,0,0,117.468591,0,0,1,0,1,1,5.739005915,1,1,1,1,0,0,0,0,0,8.220686373,0,0,3,1312.874964
9,86,1,0,1,1,18,1,50231.4,2,2,2,2,5,2,3,3,0,1,162.482694,0,0,0,0,0,1,8.707823904,1,1,1,0,1,0,0,0,0,3.422086139,1,0,0,508.7637913
10,23,7,0,0,0,9,0,22580.7,4,4,4,7,3,3,3,4,0,0,174.958118,1,0,0,0,1,1,9.341631685,0,1,0,1,0,1,0,0,0,19.26726194,0,0,2,2728.767869
11,56,2,0,1,1,17,1,18342.12,4,4,3,4,4,4,3,4,0,1,149.962093,0,0,0,0,0,0,6.68082638,0,1,1,0,0,1,0,0,0,10.52199781,0,0,1,1180.588788
12,83,0,0,0,0,9,1,83671.08,1,2,1,4,3,2,3,3,1,0,137.439154,0,0,0,0,0,0,8.273875452,0,1,1,0,0,1,0,0,0,13.01149229,0,0,0,1196.388018
13,29,5,0,1,0,14,1,115114.57,5,6,5,2,4,5,4,4,0,0,184.971516,1,0,0,0,0,1,5.880565591,1,1,1,1,0,1,1,1,0,16.87922024,1,0,0,1948.694497
14,30,1,1,3,0,10,0,64256.81,3,3,4,2,3,4,4,2,1,0,159.965581,1,0,0,0,1,0,11.79073041,1,0,0,1,0,0,0,1,0,10.06019902,0,0,0,1582.295235
15,39,3,1,1,0,13,0,89061.45,3,3,3,2,4,3,5,2,1,0,177.65076,0,0,0,1,0,1,10.79846973,1,1,0,0,1,1,0,0,0,13.87001293,0,0,0,1840.014467
16,63,0,1,1,1,13,0,31659.3,3,4,4,3,5,4,4,3,0,1,194.966286,1,0,0,0,1,0,13.52284721,1,1,1,0,1,0,0,0,0,15.78214958,0,0,0,2070.376729
17,60,2,1,3,1,16,0,44142.81,2,2,4,3,3,4,3,3,1,0,202.682861,0,0,0,0,0,1,9.831166695,0,1,0,1,1,1,0,1,0,2.303331273,1,0,0,882.0985933
18,61,3,0,1,1,11,0,39262.14,3,4,3,4,3,2,3,5,0,0,152.490739,0,0,0,0,1,0,9.57470568,1,1,1,0,0,1,0,1,1,17.10995632,1,1,0,1833.0967
19,23,3,1,1,0,10,0,19494.75,5,5,5,4,4,4,3,3,1,0,149.944668,1,0,0,0,0,0,10.92246098,1,1,1,0,0,1,0,0,0,12.80615845,0,0,0,1954.080809
20,38,4,0,0,1,14,1,39624.21,2,3,3,2,4,2,3,3,1,0,184.978458,0,1,0,0,1,1,12.06889188,1,1,0,0,1,0,0,0,0,20.45390977,0,0,3,2330.319383
21,30,3,0,1,1,18,1,45714.47,5,5,4,4,3,4,3,5,1,0,127.495766,0,0,0,0,0,1,6.984819996,0,1,0,0,0,0,1,0,0,2.415991977,1,0,0,594.1054279
22,52,3,0,1,0,16,1,27442.03,3,3,3,2,2,3,5,5,1,0,124.964303,0,0,0,0,0,0,9.372975594,1,1,0,0,0,0,0,1,0,6.652298992,0,1,1,713.0633088
23,68,2,0,0,0,9,1,79699.62,4,4,3,5,3,4,4,3,1,0,149.948316,0,0,0,1,0,0,7.109002592,1,1,1,0,0,1,0,1,0,8.543717478,0,0,0,945.3802928
24,75,3,1,1,1,15,0,28520.32,3,3,4,2,4,4,3,4,0,0,162.511928,1,0,0,0,0,1,13.74777955,0,1,0,0,1,0,1,0,0,5.770390256,0,1,0,870.76398
25,77,1,1,1,0,12,0,12558.83,4,4,4,4,2,4,5,5,1,0,92.455141,0,0,0,0,0,0,9.767668044,0,1,0,1,0,0,1,0,0,4.157658837,0,0,0,774.2937069
26,47,1,1,0,1,15,1,8762.23,5,3,5,3,3,5,4,4,0,1,222.649979,0,0,0,0,0,1,15.8626095,0,1,1,0,1,1,0,0,0,10.40566091,0,0,1,1506.446527
27,70,0,1,0,1,12,0,43882.72,2,2,3,4,4,2,2,2,0,0,139.981577,0,0,0,0,1,0,14.73616645,1,1,1,0,0,1,0,0,0,1.392421597,0,1,0,419.0508708
