,review_cleaned_text,sentiment
0,"['way', 'plug', 'converter']",0
1,"['good', 'case', 'excellent', 'value']",1
2,"['great', 'jawbone']",1
3,"['tie', 'charger', 'conversation', '45', 'minute', 'major', 'problems']",0
4,"['mic', 'great']",1
5,"['jiggle', 'plug', 'line', 'right', 'decent', 'volume']",0
6,"['dozen', 'contact', 'imagine', 'fun', 'send']",0
7,"['razr', 'owner', '...']",1
8,"['needless', 'waste', 'money']",0
9,"['waste', 'money', 'time']",0
10,"['sound', 'quality', 'great']",1
11,"['impressed', 'original', 'battery', 'extended', 'battery']",1
12,"['seperate', 'mere', '5', 'ft', 'start', 'notice', 'excessive', 'static', 'garbled', 'sound', 'headset']",0
13,"['good', 'quality']",1
14,"['design', 'odd', 'ear', 'clip', 'comfortable']",0
15,"['highly', 'recommend', 'blue', 'tooth', 'phone']",1
16,"['advise', 'fool']",0
17,"['far', 'good']",1
18,"['work', 'great']",1
19,"['click', 'place', 'way', 'wonder', 'long', 'mechanism']",0
20,"['motorola', 'website', 'follow', 'direction', 'pair']",0
21,"['buy', 'use', 'kindle', 'fire', 'absolutely', 'love']",1
22,"['commercial', 'misleading']",0
23,"['run', 'new', 'battery', 'bar', 'day', 'charge']",1
24,"['buy', 'mother', 'problem', 'battery']",0
25,"['great', 'pocket', 'pc', 'phone', 'combination']",1
26,"['phone', '7', 'month', 'good', 'mobile', 'phone']",1
27,"['think', 'instruction', 'provide', 'helpful']",0
28,"['people', 'hear', 'talk', 'pull', 'earphone', 'talk', 'phone']",0
29,"['hold', 'charge']",0
30,"['simple', 'little', 'phone', 'use', 'breakage', 'unacceptible']",0
31,"['product', 'ideal', 'people', 'like', 'ear', 'sensitive']",1
32,"['unusable', 'car', 'freeway', 'speed']",0
33,"['year', 'leave', 'contract', 'hate', 'phone']",0
34,"['car', 'charger', 'ac', 'charger', 'include', 'sure', 'run', 'juice', 'highy', 'recommend']",1
35,"['need', '3', 'min', 'phone', 'book', 'time', 'turn', 'phone', 'battery', 'life', 'short']",0
36,[],1
37,"['poor', 'talk', 'time', 'performance']",0
38,"['case', 'great', 'work', 'fine', '680']",1
39,"['worthless', 'product']",0
40,"['great', 'camera', 's', '2mp', 'pic', 'nice', 'clear', 'great', 'picture', 'quality']",1
41,"['impress', 'product']",0
42,"['nice', 'headset', 'price', 'right']",1
43,"['hear', 'garbage', 'audio']",0
44,"['excellent', 'bluetooth', 'headset']",1
45,"['feature', 'want']",1
46,"['right', 'mind', 'buy', 'battery']",0
47,"['argue', 'verizon', 'regard', 'dropped', 'calls', 'return', 'phones', 'day']",0
48,['case'],1
49,"['disappoint', 'battery']",0
50,"['loud', 'turn', 'like']",0
51,"['good', 'protection', 'phone', 'bulky']",1
52,"['usable', 'keyboard', 'actually', 'turn', 'pda', 'real', 'world', 'useful', 'machine', 'instead', 'neat', 'gadget']",1
53,"['phone', 'pretty', 'sturdy', 'large', 'problem']",1
54,"['love', 'thing']",1
55,"['fine', 'reasonable', 'price', 'i.e.']",1
56,['disappointed'],0
57,"['drop', 'phone', 'stream', 'submerge', '15', 'second', 'work', 'great']",1
58,"['happy', '510', 'complaint', 'regard', 'sound', 'quality', 'end']",1
59,"['button', 'bad']",0
60,"['essentially', 'forget', 'microsoft', 'tech', 'support']",0
61,"['recommend', 'faceplate', 'look', 'nice', 'elegant', 'cool']",1
62,"['headphone', 'great', 'find', 'think', 'good', 'purchase', 'year', 'seriously']",1
63,"['buy', 'different', 'phone']",0
64,"['hold', 'phone', 'particular', 'angle', 'party', 'hear', 'clearly']",0
65,"['big', 'drawback', 'mp3', 'player', 'button', 'phone', 'cover', 'let', 'pause', 'skip', 'song', 'lock', 'second']",0
66,"['week', 'later', 'activate', 'suddenly', 'die']",0
67,"['feel', 'comfortable', 'headset', 'wear', 'glass', 'way']",1
68,"['great', 'ipod']",1
69,"['device', 'great', 'situations:1']",1
70,"['mic', 'work']",0
71,"['bmw', '3', 'series', 'fairly', 'quiet', 'trouble', 'hear', 'person']",0
72,"['great', 'choice']",1
73,"['nice', 'docking', 'station', 'home', 'work']",1
74,"['beautiful', 'phone']",1
75,"['love', 'product']",1
76,"['buy', 'd807', '...', 'wrongly', 'advertise', 'd807']",0
77,"['great', 'little', 'item']",1
78,"['love', 'phone', 'handy', 'lot', 'feature']",1
79,"['purchase', '2', 'day', 'long', 'work']",0
80,"['wear', 'everyday', 'hold']",1
81,"['good', 'bargain']",0
82,"['package', 'arrive', 'time', 'work', 'intend']",1
83,"['battery', 'run', 'quickly']",0
84,"['item', 'work', 'great', 'break', '6', 'month', 'use']",0
